,index,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Dropout Prediction
78,78,1,14,1,8,1,1,1,13,28,5,6,1,0,1,1,0,0,18,0,0,5,11,1,12.0,0,0,5,9,3,12.0,0,12.7,3.7,-1.7,Enrolled,94.0
88,88,1,1,1,5,1,1,1,1,1,5,5,0,0,0,0,0,0,18,0,1,6,10,5,12.2,1,0,6,11,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled,90.0
91,91,1,1,2,5,1,1,1,4,1,3,4,1,0,0,1,0,0,18,0,0,6,8,4,10.75,0,0,6,9,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
93,93,1,8,1,9,1,1,1,22,27,5,8,0,0,0,1,1,1,19,0,0,5,12,3,11.666666666666666,0,0,5,10,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled,92.0
97,97,1,12,1,7,1,15,1,1,1,6,11,0,0,0,1,1,0,25,0,2,5,6,5,14.2,0,1,5,5,2,13.5,0,16.2,0.3,-0.92,Enrolled,99.0
102,102,1,1,1,8,1,1,1,1,1,4,4,1,0,0,1,1,0,20,0,0,5,14,2,11.0,3,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled,95.0
114,114,1,1,6,9,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,5,9,3,11.666666666666666,0,0,5,15,2,11.0,0,7.6,2.6,0.32,Enrolled,100.0
117,117,1,1,1,9,1,1,1,13,27,10,10,1,0,0,1,0,1,19,0,0,5,8,2,10.5,0,0,5,11,3,13.333333333333334,0,7.6,2.6,0.32,Enrolled,90.0
118,118,1,1,1,10,1,1,1,22,1,4,6,0,0,0,1,0,0,21,0,0,6,11,5,11.2,0,0,6,15,1,10.0,0,7.6,2.6,0.32,Enrolled,94.0
126,126,1,15,1,6,1,14,1,2,2,7,7,0,0,0,0,1,0,20,0,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Enrolled,93.0
134,134,1,6,1,9,1,1,8,1,3,30,4,0,0,1,1,1,0,40,1,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Enrolled,100.0
142,142,1,17,1,5,1,16,1,25,14,4,6,1,0,0,0,0,1,22,0,0,6,8,6,11.0,0,0,6,10,4,12.0,0,8.9,1.4,3.51,Enrolled,99.0
144,144,1,1,1,8,1,1,1,3,3,3,11,0,0,1,0,0,0,23,0,0,6,10,6,14.0,0,0,6,11,4,13.0,0,11.1,0.6,2.02,Enrolled,90.0
150,150,1,14,1,8,1,1,3,1,3,10,3,0,0,1,1,0,0,21,1,2,5,9,5,13.2,2,0,5,7,2,12.5,2,10.8,1.4,1.74,Enrolled,92.0
151,151,1,1,3,7,1,1,1,3,1,4,5,1,0,0,1,1,0,18,0,0,5,9,4,12.0,0,0,5,10,2,11.0,0,8.9,1.4,3.51,Enrolled,97.0
152,152,1,16,1,13,1,1,1,1,27,24,44,1,0,0,1,1,0,23,0,0,7,11,5,12.414285714285713,0,0,7,13,2,13.5,0,8.9,1.4,3.51,Enrolled,95.0
153,153,1,8,1,9,1,1,1,3,1,4,5,0,0,0,0,1,0,22,0,0,5,10,4,11.5,0,0,5,11,4,14.0,0,8.9,1.4,3.51,Enrolled,95.0
156,156,1,8,4,7,1,1,1,13,14,6,6,1,0,1,0,1,0,18,0,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
162,162,1,12,1,6,1,1,1,22,14,29,35,1,0,1,1,0,0,28,0,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled,100.0
163,163,1,1,5,9,1,1,1,22,28,8,8,1,0,0,1,0,0,18,0,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled,99.0
167,167,2,12,1,10,1,12,1,22,27,10,10,1,0,0,1,0,0,31,0,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
168,168,1,1,2,7,1,1,1,23,28,6,6,0,0,0,1,1,0,18,0,0,5,9,2,11.666666666666666,0,0,5,9,2,12.5,2,7.6,2.6,0.32,Enrolled,99.0
169,169,1,12,1,7,1,1,1,1,28,4,6,0,0,0,1,1,0,24,0,0,5,6,3,10.666666666666666,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled,99.0
170,170,1,8,3,7,1,1,1,1,14,10,4,1,0,1,0,1,0,18,0,0,5,10,3,12.0,0,0,5,8,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled,96.0
177,177,1,1,1,16,1,1,1,3,1,3,6,0,0,0,1,0,0,18,0,0,6,9,5,12.333333333333334,0,0,6,10,5,10.6,0,15.5,2.8,-4.06,Enrolled,92.56666666666668
183,183,1,1,2,16,1,1,1,23,28,8,6,1,0,0,1,0,0,18,0,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled,98.0
194,194,1,8,3,9,1,1,1,1,14,4,6,1,0,0,1,0,0,19,0,0,5,7,3,10.333333333333334,0,0,5,11,3,14.428571428571429,0,10.8,1.4,1.74,Enrolled,91.0
206,206,1,12,1,7,1,12,1,1,14,5,6,0,0,0,1,1,0,25,0,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled,100.0
207,207,1,17,1,14,1,16,1,13,27,4,7,1,0,1,1,0,0,21,0,0,6,12,1,12.0,0,0,6,11,1,11.0,0,8.9,1.4,3.51,Enrolled,100.0
218,218,1,8,3,9,1,1,1,3,28,3,11,1,0,0,1,0,0,18,0,0,5,16,4,10.666666666666666,0,0,5,11,2,12.0,0,13.9,-0.3,0.79,Enrolled,91.0
219,219,1,1,1,6,1,1,1,1,27,5,10,1,0,0,1,0,0,21,0,0,6,12,4,12.5,0,0,6,13,2,12.666666666666666,0,11.1,0.6,2.02,Enrolled,98.0
222,222,1,8,2,16,1,1,1,1,14,3,11,1,0,0,1,0,0,19,0,0,6,9,5,13.0,0,0,6,8,5,10.4,0,7.6,2.6,0.32,Enrolled,93.4
224,224,1,8,1,9,1,1,1,22,27,10,7,1,0,1,0,0,1,19,0,0,5,5,5,12.8,0,0,5,5,4,12.0,0,11.1,0.6,2.02,Enrolled,98.0
237,237,1,1,1,11,1,1,1,2,27,2,2,1,0,0,1,0,0,19,0,0,6,9,5,13.4,0,0,6,16,2,13.5,0,10.8,1.4,1.74,Enrolled,94.0
241,241,1,6,1,7,1,1,13,1,3,21,31,0,0,1,1,0,0,19,1,0,6,11,2,13.5,1,0,5,11,2,11.0,0,8.9,1.4,3.51,Enrolled,100.0
245,245,1,1,1,14,1,1,1,2,28,21,35,1,0,0,1,1,0,19,0,0,6,10,4,12.5,0,0,6,12,1,10.0,3,16.2,0.3,-0.92,Enrolled,99.25
251,251,1,8,1,7,1,1,1,1,3,10,11,1,0,0,1,1,0,20,0,0,5,7,4,12.0,0,0,5,8,2,12.5,0,10.8,1.4,1.74,Enrolled,100.0
256,256,1,12,1,17,0,1,14,22,14,10,10,0,0,0,1,0,1,31,1,0,5,13,4,10.5,0,0,5,10,4,10.5,0,15.5,2.8,-4.06,Enrolled,90.66666666666667
264,264,1,8,1,9,1,1,1,1,28,7,7,1,0,1,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,100.0
267,267,1,15,1,8,1,14,1,13,14,6,6,1,0,1,0,0,0,20,0,1,6,11,3,12.0,0,0,6,11,2,11.0,0,12.4,0.5,1.79,Enrolled,100.0
269,269,1,6,1,13,1,1,12,13,1,10,5,0,0,1,1,0,0,19,1,0,7,11,0,0.0,4,0,7,11,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled,98.0
276,276,1,1,4,9,1,1,1,13,28,6,6,1,0,0,1,1,0,18,0,0,5,6,4,11.5,0,0,5,12,2,10.333333333333334,0,10.8,1.4,1.74,Enrolled,92.8
288,288,1,1,2,6,1,1,1,22,14,10,9,0,0,0,1,0,0,20,0,0,5,7,4,11.75,0,0,5,9,2,10.5,0,7.6,2.6,0.32,Enrolled,90.0
292,292,1,1,1,7,1,1,1,23,28,10,8,1,0,0,1,1,0,19,0,0,5,10,3,10.666666666666666,0,0,5,9,2,14.0,2,7.6,2.6,0.32,Enrolled,98.0
299,299,1,15,1,6,1,14,1,1,3,10,5,0,0,1,0,0,0,24,0,2,6,11,4,12.5,0,1,6,18,2,11.5,0,12.4,0.5,1.79,Enrolled,100.0
300,300,2,12,1,12,1,1,1,22,28,5,5,0,0,0,1,1,1,33,0,0,8,16,1,10.0,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled,100.0
304,304,1,8,4,11,1,1,1,1,1,5,3,1,0,0,1,1,0,19,0,0,6,7,5,12.2,0,0,6,12,2,12.0,0,7.6,2.6,0.32,Enrolled,90.0
307,307,1,15,1,7,1,14,1,13,3,6,3,0,0,0,1,1,0,20,0,0,5,16,0,0.0,0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled,99.0
308,308,1,1,1,7,1,1,1,1,1,4,4,0,0,0,0,1,1,18,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,8.9,1.4,3.51,Enrolled,92.0
317,317,1,8,3,9,1,1,1,3,28,15,36,1,0,1,1,1,0,19,0,0,5,10,4,11.0,0,0,5,13,2,12.0,0,8.9,1.4,3.51,Enrolled,91.0
321,321,1,1,5,7,1,1,1,1,14,5,8,0,0,0,0,1,1,18,0,0,5,6,5,12.2,0,0,5,8,4,12.0,0,8.9,1.4,3.51,Enrolled,99.0
323,323,1,14,1,6,1,1,1,13,28,5,10,1,0,0,0,0,0,19,0,0,6,12,5,13.0,0,0,6,12,3,11.666666666666666,0,13.9,-0.3,0.79,Enrolled,97.0
325,325,1,8,1,9,1,1,1,1,28,5,6,1,0,0,1,0,0,19,0,0,5,10,1,11.0,0,0,5,13,0,0.0,0,12.7,3.7,-1.7,Enrolled,100.0
326,326,1,8,1,6,1,1,1,1,28,5,10,1,0,0,1,0,0,21,0,0,5,13,3,11.333333333333334,2,0,5,12,2,10.5,1,9.4,-0.8,-3.12,Enrolled,94.0
331,331,2,13,1,17,0,1,1,3,2,3,3,0,0,0,1,1,0,27,0,2,2,2,2,12.5,0,0,5,6,2,12.5,0,12.7,3.7,-1.7,Enrolled,99.0
332,332,1,12,1,7,1,1,1,1,1,5,5,0,0,0,1,1,0,34,0,0,5,7,0,0.0,0,0,5,8,1,11.0,0,10.8,1.4,1.74,Enrolled,100.0
337,337,1,1,1,6,1,1,1,13,27,9,9,0,1,0,1,0,0,21,0,0,6,13,4,12.0,0,0,6,17,2,11.5,0,11.1,0.6,2.02,Enrolled,97.0
340,340,1,15,1,6,1,14,1,1,1,4,8,1,0,0,1,0,0,20,0,2,6,11,5,14.2,0,0,6,12,2,13.5,0,13.9,-0.3,0.79,Enrolled,98.0
341,341,1,1,1,16,1,1,1,13,1,10,2,0,0,0,1,0,0,18,0,0,6,8,5,12.8,0,0,6,14,3,10.0,0,9.4,-0.8,-3.12,Enrolled,95.0
342,342,1,1,1,5,1,1,1,23,28,10,6,0,0,0,0,0,1,18,0,0,6,7,5,11.8,0,0,6,7,5,13.0,0,8.9,1.4,3.51,Enrolled,93.0
344,344,1,1,4,10,1,1,1,13,1,5,6,1,1,0,1,0,0,18,0,0,6,9,5,11.833333333333334,0,0,6,8,2,11.5,0,13.9,-0.3,0.79,Enrolled,92.0
346,346,1,9,1,12,1,1,1,13,1,10,5,0,0,0,1,0,1,20,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled,100.0
348,348,1,8,1,16,1,1,1,1,1,4,5,0,0,1,1,0,0,18,0,0,6,8,4,13.25,0,0,6,10,3,10.666666666666666,0,12.7,3.7,-1.7,Enrolled,99.0
352,352,2,12,1,17,0,1,1,22,27,10,11,0,0,0,1,0,0,34,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
364,364,1,14,1,12,1,1,1,13,14,5,8,0,0,0,1,0,1,18,0,0,7,11,5,12.16,0,0,7,7,2,13.4,0,16.2,0.3,-0.92,Enrolled,94.0
366,366,1,8,1,6,1,1,1,2,14,3,10,1,0,0,1,0,0,18,0,0,5,12,2,11.5,0,0,5,12,3,11.8,2,10.8,1.4,1.74,Enrolled,91.0
371,371,1,8,1,8,1,1,1,3,3,3,3,1,0,1,0,0,0,18,0,0,6,9,5,12.4,0,0,6,12,5,14.166666666666666,0,8.9,1.4,3.51,Enrolled,92.0
374,374,1,8,2,10,1,1,1,2,1,4,5,1,0,0,1,0,0,19,0,0,6,14,1,11.5,0,0,6,12,2,10.5,0,7.6,2.6,0.32,Enrolled,98.0
377,377,1,8,1,7,1,1,1,13,28,10,8,0,0,0,1,1,0,18,0,0,5,10,3,11.0,0,0,5,6,3,11.0,1,16.2,0.3,-0.92,Enrolled,92.0
382,382,1,14,1,9,1,1,1,22,14,10,9,0,0,0,1,1,0,22,0,0,5,5,0,0.0,0,0,5,9,3,13.333333333333334,2,16.2,0.3,-0.92,Enrolled,91.0
386,386,1,14,1,7,1,1,1,3,1,3,4,0,0,0,1,1,0,18,0,0,5,9,4,12.25,0,0,5,11,3,11.666666666666666,0,13.9,-0.3,0.79,Enrolled,90.0
388,388,1,1,1,11,1,1,1,23,14,10,5,0,0,0,1,1,0,19,0,0,6,10,4,12.75,0,0,6,12,2,13.0,0,10.8,1.4,1.74,Enrolled,97.0
390,390,1,12,1,6,1,9,1,23,14,10,9,1,0,1,0,1,0,25,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled,100.0
394,394,1,14,2,12,1,1,1,13,1,10,11,0,0,0,1,1,1,21,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled,100.0
395,395,1,15,1,4,1,14,1,5,3,3,3,0,0,0,1,1,0,20,0,1,7,13,3,10.666666666666666,0,0,6,14,2,11.5,0,15.5,2.8,-4.06,Enrolled,100.0
402,402,1,13,1,7,1,1,1,1,27,6,6,0,0,0,1,1,0,19,0,2,5,6,4,11.8,0,0,5,7,2,11.5,0,15.5,2.8,-4.06,Enrolled,98.0
403,403,1,15,1,7,1,14,1,5,31,4,3,0,0,0,1,1,0,23,0,3,7,12,3,14.0,0,1,6,12,1,14.0,0,12.4,0.5,1.79,Enrolled,98.0
410,410,1,16,1,7,1,1,1,2,27,3,10,1,0,0,1,1,0,19,0,0,5,10,0,0.0,0,0,5,7,1,10.0,0,7.6,2.6,0.32,Enrolled,100.0
414,414,1,12,1,7,1,1,1,13,14,10,8,0,0,1,1,1,0,24,0,0,5,12,1,10.0,0,0,5,11,1,11.0,0,8.9,1.4,3.51,Enrolled,100.0
415,415,1,15,1,7,1,14,1,1,14,5,6,1,0,0,1,1,0,22,0,0,5,9,0,0.0,0,0,5,6,2,11.666666666666666,0,10.8,1.4,1.74,Enrolled,99.0
424,424,1,8,1,7,1,1,1,13,1,5,6,0,0,0,1,1,0,20,0,0,5,10,4,11.5,0,0,5,11,0,0.0,0,13.9,-0.3,0.79,Enrolled,99.0
431,431,1,8,4,7,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,0,5,7,4,12.0,0,0,5,10,3,13.0,3,7.6,2.6,0.32,Enrolled,95.0
432,432,2,14,1,6,1,1,1,22,27,10,8,0,0,0,1,1,0,21,0,0,5,11,0,0.0,2,0,5,11,3,11.666666666666666,1,9.4,-0.8,-3.12,Enrolled,92.0
437,437,1,1,1,9,1,1,1,13,27,5,9,0,0,0,1,1,0,27,0,0,5,12,3,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,Enrolled,99.0
443,443,1,8,6,9,1,1,1,13,28,6,7,1,0,0,1,1,0,20,0,0,5,7,3,12.666666666666666,1,0,5,12,2,12.5,0,9.4,-0.8,-3.12,Enrolled,99.0
444,444,1,8,2,15,1,1,1,1,1,5,5,1,0,0,1,1,0,20,0,0,6,11,3,13.666666666666666,0,0,6,13,4,10.25,0,9.4,-0.8,-3.12,Enrolled,91.0
445,445,1,1,2,9,1,1,1,1,1,10,7,0,0,0,1,1,0,19,0,0,5,9,5,10.8,0,0,5,13,2,13.5,0,8.9,1.4,3.51,Enrolled,95.0
447,447,1,8,4,7,1,1,15,1,1,29,36,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled,99.0
453,453,1,9,4,7,1,1,1,13,28,32,39,1,0,1,1,1,0,18,0,0,5,11,3,10.666666666666666,0,0,5,9,3,11.333333333333334,0,8.9,1.4,3.51,Enrolled,94.0
454,454,1,1,1,7,1,1,1,13,27,6,9,1,0,0,1,1,0,18,0,0,5,9,4,10.5,0,0,5,11,2,10.5,3,7.6,2.6,0.32,Enrolled,94.0
457,457,1,1,1,10,1,1,1,23,1,3,5,0,0,0,1,0,0,20,0,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
462,462,1,1,4,9,1,1,1,1,14,5,7,1,0,0,1,0,0,24,0,0,5,11,2,10.5,0,0,5,14,1,11.0,0,12.7,3.7,-1.7,Enrolled,100.0
465,465,1,8,1,9,1,1,1,13,14,8,8,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,Enrolled,100.0
481,481,1,15,1,4,1,14,1,23,1,19,25,1,0,1,1,1,0,26,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled,100.0
484,484,1,1,1,7,1,1,1,22,14,10,10,1,0,1,1,1,0,20,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,100.0
486,486,1,8,1,14,1,1,1,13,14,29,36,0,0,1,0,1,0,21,0,0,6,11,4,12.25,0,0,6,9,4,13.4,0,11.1,0.6,2.02,Enrolled,95.0
487,487,1,8,1,14,1,1,1,1,1,5,5,0,0,0,1,1,0,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,100.0
489,489,2,12,2,13,1,1,1,13,28,10,10,0,0,0,1,0,1,26,0,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled,100.0
492,492,1,1,1,8,1,1,1,4,5,3,3,1,0,0,1,0,0,21,0,0,5,12,1,11.0,0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Enrolled,99.0
497,497,1,15,1,4,1,14,1,23,14,4,6,0,0,0,1,1,0,23,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Enrolled,100.0
500,500,1,12,1,3,0,12,1,22,27,6,6,1,0,0,1,0,1,26,0,0,6,10,3,12.333333333333334,0,0,6,14,3,11.666666666666666,0,7.6,2.6,0.32,Enrolled,93.0
506,506,1,14,1,15,1,1,1,13,27,6,6,1,0,0,1,0,0,23,0,0,6,11,3,11.333333333333334,0,0,6,7,2,11.0,0,16.2,0.3,-0.92,Enrolled,100.0
509,509,4,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,0,29,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,100.0
513,513,1,14,1,15,1,1,1,13,1,6,6,1,0,0,1,0,0,18,0,0,6,6,0,0.0,0,0,6,10,3,11.0,0,16.2,0.3,-0.92,Enrolled,92.0
519,519,1,1,2,14,1,1,1,22,27,10,10,0,0,0,1,0,0,22,0,0,5,8,3,12.0,0,0,5,9,2,11.0,1,7.6,2.6,0.32,Enrolled,100.0
521,521,1,12,1,6,1,1,1,22,27,7,7,0,0,0,1,0,1,25,0,0,6,13,3,11.666666666666666,0,0,6,14,2,11.333333333333334,0,11.1,0.6,2.02,Enrolled,100.0
532,532,1,12,1,3,0,1,1,13,27,5,6,0,0,0,1,0,0,34,0,0,6,6,4,13.25,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,100.0
533,533,1,1,3,12,1,1,1,1,1,5,5,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled,100.0
537,537,1,8,4,12,1,1,1,4,1,3,2,1,0,0,1,0,0,18,0,0,8,8,0,0.0,5,0,8,8,0,0.0,5,9.4,-0.8,-3.12,Enrolled,100.0
553,553,1,14,1,7,1,1,1,1,1,10,3,0,0,1,0,1,0,27,0,0,5,5,0,0.0,0,0,5,7,0,0.0,0,13.9,-0.3,0.79,Enrolled,100.0
567,567,1,1,1,8,1,1,1,1,1,10,10,1,0,0,1,0,0,20,0,0,5,10,4,12.5,0,0,5,12,2,13.0,0,12.7,3.7,-1.7,Enrolled,100.0
569,569,1,1,2,9,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,0,5,8,2,10.0,0,0,5,9,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled,95.0
571,571,1,14,1,5,1,1,1,13,14,10,10,1,0,0,1,1,1,20,0,0,6,8,3,11.0,0,0,6,8,2,11.333333333333334,0,10.8,1.4,1.74,Enrolled,99.0
595,595,5,12,1,7,1,1,1,22,27,10,10,0,0,1,1,1,1,34,0,0,5,14,1,17.0,0,0,5,10,2,11.0,0,9.4,-0.8,-3.12,Enrolled,100.0
597,597,1,8,4,15,1,1,1,3,1,3,8,1,0,0,1,1,0,21,0,0,6,7,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Enrolled,100.0
599,599,1,8,1,14,1,1,1,1,1,5,9,0,0,1,0,1,0,20,0,0,6,7,5,12.4,0,0,6,8,4,13.0,0,13.9,-0.3,0.79,Enrolled,100.0
600,600,1,1,1,7,1,1,1,22,27,10,7,0,0,0,1,1,0,19,0,0,5,7,1,13.0,0,0,5,7,2,10.0,0,9.4,-0.8,-3.12,Enrolled,100.0
602,602,1,15,1,7,1,14,1,3,14,4,5,0,0,0,1,1,0,20,0,0,5,12,1,13.0,0,0,5,8,3,12.6,0,12.4,0.5,1.79,Enrolled,92.0
604,604,1,1,1,17,0,1,1,22,27,10,4,0,0,0,1,1,0,26,0,0,5,11,2,11.5,0,0,5,10,3,12.0,0,7.6,2.6,0.32,Enrolled,92.0
607,607,1,1,1,6,1,1,1,22,27,10,10,1,0,0,1,0,0,19,0,0,5,10,2,14.5,1,0,5,9,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,90.0
